onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_orig	duration_orig	trial_type_orig
0.0154113070002495	2	2.87428352300003	1	BALOON	b	ACCEPT	1	0.25	0.75	0.25	0.0154	2	accept
4.57936532200029	2	1.42232901999978	1	BALOON	b	ACCEPT	1	0.25	1	0.25	4.5794	2	accept
7.5001794750001	2	0.892749307000031	1	BALOON	b	ACCEPT	1	0.25	1.25	0.25	7.5002	2	accept
10.2717364489999	2	0.410509189000095	1	BALOON	b	ACCEPT	1	0.25	1.5	0.25	10.2717	2	accept
12.661472838	2	0.403788443999929	1	BALOON	b	ACCEPT	1	0.25	1.75	0.25	12.6615	2	accept
14.470338049	2	0.627737619000072	1	BALOON	b	ACCEPT	1	0.25	2	0.25	14.4703	2	accept
16.8767985039999	2	0.444770565999988	1	BALOON	b	ACCEPT	1	0.25	2.25	0.25	16.8768	2	accept
18.7853890690003	2	0.407474868999998	1	BALOON	b	ACCEPT	1	0.25	2.5	0.25	18.7854	2	accept
20.6274709250001	2	0	1	BALOON	n/a	EXPLODE	1	0	2.5	0.25	20.6275	2	explode
24.0295963359999	2	1.10749018500019	2	BALOON	b	ACCEPT	1	0.25	0.75	0.25	24.0296	2	accept
26.4525596480003	2	0.429741357999774	2	BALOON	b	ACCEPT	1	0.25	1	0.25	26.4526	2	accept
28.6598667880003	2	0.349758244999975	2	BALOON	b	ACCEPT	1	0.25	1.25	0.25	28.6599	2	accept
30.7840649310001	2	0.320654412999829	2	BALOON	b	ACCEPT	1	0.25	1.5	0.25	30.7841	2	accept
32.2445446460001	2	0.533649516999958	2	BALOON	b	ACCEPT	1	0.25	1.75	0.25	32.2445	2	accept
34.352088955	2	0.369418374999896	2	BALOON	b	ACCEPT	1	0.25	2	0.25	34.3521	2	accept
36.2442985100001	2	0.365625917999751	2	BALOON	b	ACCEPT	1	0.25	2.25	0.25	36.2443	2	accept
38.4182165570001	2	0.358742302999872	2	BALOON	b	ACCEPT	1	0.25	2.5	0.25	38.4182	2	accept
40.0114103380001	2	0	2	BALOON	n/a	EXPLODE	1	0	2.5	0.25	40.0114	2	explode
44.5088813450002	2	0.476251970999783	3	BALOON	b	ACCEPT	0	0.25	0.75	0.25	44.5089	2	accept
46.3675172850003	2	0.370383130999926	3	BALOON	b	ACCEPT	0	0.25	1	0.25	46.3675	2	accept
48.1432828729999	2	0.3707771710001	3	BALOON	b	ACCEPT	0	0.25	1.25	0.25	48.1433	2	accept
50.1181876430001	2	0.339198739000039	3	BALOON	b	ACCEPT	0	0.25	1.5	0.25	50.1182	2	accept
