onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.01	4.5	2.9450	-0.05	hard_par	10	13.468	1 year	365	0.00095	y	1	 18.96	 20.53	0	1	16.013	4.5	hard_par	n/a	0.4167
 21.26	4.5	1.6338	 1.90	easy_par	10	20.585	1 year	365	0.00290	y	1	 22.89	 25.77	5.25	2	21.2572	4.5	easy_par	0.6458	n/a
 26.50	4.5	1.8207	 0.05	hard_par	5	 5.011	2 days	2	0.00105	y	1	 28.32	 31.02	10.5	3	26.5014	4.5	hard_par	n/a	0.4167
 37.01	4.5	1.5364	-0.99	easy_par	5	 5.006	4 months	120	0.00001	b	0	 38.54	 41.52	21	5	37.0065	4.5	easy_par	-0.3542	n/a
 42.25	4.5	2.2356	-0.99	easy_par	10	10.000	2 days	2	0.00001	b	0	 44.49	 46.76	26.25	6	42.2509	4.5	easy_par	-0.3542	n/a
 47.51	4.5	1.4710	 0.01	hard_par	10	10.071	1 week	7	0.00101	y	1	 48.98	 52.03	31.5	7	47.5119	4.5	hard_par	n/a	0.4167
 52.76	4.5	1.3633	 2.00	easy_par	5	10.475	1 year	365	0.00300	y	1	 54.12	 57.27	36.75	8	52.756	4.5	easy_par	0.6458	n/a
 58.02	4.5	1.6895	 1.90	easy_par	5	 5.870	2 months	60	0.00290	y	1	 59.71	 62.53	42	9	58.0169	4.5	easy_par	0.6458	n/a
 63.26	4.5	1.9860	 0.05	hard_par	5	 5.315	2 months	60	0.00105	y	1	 65.25	 67.78	47.25	10	63.2612	4.5	hard_par	n/a	0.4167
 68.51	4.5	1.5107	-0.99	easy_par	5	 5.000	2 days	2	0.00001	b	0	 70.02	 73.02	52.5	11	68.5054	4.5	easy_par	-0.3542	n/a
 73.77	4.5	1.3620	-0.95	easy_par	10	10.060	4 months	120	0.00005	b	0	 75.13	 78.28	57.75	12	73.7662	4.5	easy_par	-0.3542	n/a
 79.01	4.5	1.2542	 1.90	easy_par	10	13.480	4 months	120	0.00290	y	1	 80.26	 83.52	63	13	79.0106	4.5	easy_par	0.6458	n/a
 84.25	4.5	1.9760	 0.05	hard_par	10	10.220	3 weeks	21	0.00105	b	0	 86.23	 88.77	68.25	14	84.2548	4.5	hard_par	n/a	-0.5833
 89.52	4.5	1.1267	 1.90	easy_par	5	 6.740	4 months	120	0.00290	y	1	 90.64	 94.03	73.5	15	89.5157	4.5	easy_par	0.6458	n/a
 94.76	4.5	1.2249	-0.05	hard_par	5	 5.285	2 months	60	0.00095	y	1	 95.98	 99.27	78.75	16	94.76	4.5	hard_par	n/a	0.4167
100.00	4.5	1.1945	 1.90	easy_par	5	10.293	1 year	365	0.00290	y	1	101.20	104.52	84	17	100.0043	4.5	easy_par	0.6458	n/a
110.51	4.5	1.5236	 0.01	hard_par	5	 5.106	3 weeks	21	0.00101	b	0	112.03	115.02	94.5	19	110.5094	4.5	hard_par	n/a	-0.5833
115.75	4.5	1.3577	-0.05	hard_par	5	 5.033	1 week	7	0.00095	b	0	117.11	120.27	99.75	20	115.7536	4.5	hard_par	n/a	-0.5833
121.01	4.5	1.7048	 2.00	easy_par	5	 5.900	2 months	60	0.00300	b	0	122.72	125.53	105	21	121.0144	4.5	easy_par	-0.3542	n/a
126.26	4.5	1.2945	-0.99	easy_par	10	10.012	4 months	120	0.00001	b	0	127.55	130.77	110.25	22	126.2588	4.5	easy_par	-0.3542	n/a
131.50	4.5	1.2968	 0.05	hard_par	10	13.833	1 year	365	0.00105	y	1	132.80	136.02	115.5	23	131.5031	4.5	hard_par	n/a	0.4167
136.76	4.5	1.0266	 0.01	hard_par	5	 5.606	4 months	120	0.00101	y	1	137.79	141.28	120.75	24	136.7639	4.5	hard_par	n/a	0.4167
142.01	4.5	0.9679	 2.00	easy_par	5	 5.105	1 week	7	0.00300	y	1	142.98	146.52	126	25	142.0082	4.5	easy_par	0.6458	n/a
147.25	4.5	1.7618	-0.95	easy_par	5	 5.000	2 days	2	0.00005	b	0	149.01	151.77	131.25	26	147.2524	4.5	easy_par	-0.3542	n/a
152.51	4.5	1.3337	-0.95	easy_par	10	10.011	3 weeks	21	0.00005	b	0	153.85	158.59	136.5	27	152.5133	4.5	easy_par	-0.3542	n/a
158.60	4.5	1.1478	 0.01	hard_par	5	 5.303	2 months	60	0.00101	y	1	159.75	163.12	141.75	28	158.604	4.5	hard_par	n/a	0.4167
163.13	4.5	1.6286	-0.99	easy_par	5	 5.001	3 weeks	21	0.00001	b	0	164.76	167.65	147	29	163.1346	4.5	easy_par	-0.3542	n/a
168.26	4.5	1.2096	-0.95	easy_par	5	 5.005	3 weeks	21	0.00005	b	0	169.47	172.78	152.25	30	168.2628	4.5	easy_par	-0.3542	n/a
173.51	4.5	1.0673	-0.05	hard_par	10	10.019	2 days	2	0.00095	b	0	174.57	178.02	157.5	31	173.5071	4.5	hard_par	n/a	-0.5833
184.01	4.5	2.7160	-0.01	hard_par	5	 5.104	3 weeks	21	0.00099	b	0	186.73	188.53	168	33	184.0122	4.5	hard_par	n/a	-0.5833
189.26	4.5	1.5995	-0.95	easy_par	5	 5.015	2 months	60	0.00005	b	0	190.86	193.77	173.25	34	189.2565	4.5	easy_par	-0.3542	n/a
194.52	4.5	1.2418	-0.99	easy_par	5	 5.003	2 months	60	0.00001	b	0	195.76	199.03	178.5	35	194.5172	4.5	easy_par	-0.3542	n/a
199.76	4.5	1.6955	 1.90	easy_par	5	 5.304	3 weeks	21	0.00290	b	0	201.46	204.28	183.75	36	199.7616	4.5	easy_par	-0.3542	n/a
205.01	4.5	2.0662	-0.01	hard_par	10	11.188	4 months	120	0.00099	y	1	207.07	209.52	189	37	205.0058	4.5	hard_par	n/a	0.4167
210.27	4.5	1.3916	-0.01	hard_par	10	10.069	1 week	7	0.00099	b	0	211.66	214.78	194.25	38	210.2668	4.5	hard_par	n/a	-0.5833
215.51	4.5	1.1699	 1.90	easy_par	10	11.740	2 months	60	0.00290	y	1	216.68	220.03	199.5	39	215.511	4.5	easy_par	0.6458	n/a
220.76	4.5	0.9415	 0.01	hard_par	10	10.020	2 days	2	0.00101	b	0	221.70	225.27	204.75	40	220.7553	4.5	hard_par	n/a	-0.5833
226.02	4.5	2.1510	-0.05	hard_par	5	 5.100	3 weeks	21	0.00095	y	1	228.17	230.53	210	41	226.0161	4.5	hard_par	n/a	0.4167
231.26	4.5	1.0200	-0.95	easy_par	10	10.004	1 week	7	0.00005	b	0	232.28	235.77	215.25	42	231.2604	4.5	easy_par	-0.3542	n/a
236.50	4.5	1.9843	-0.01	hard_par	10	10.594	2 months	60	0.00099	y	1	238.49	241.02	220.5	43	236.5046	4.5	hard_par	n/a	0.4167
241.77	4.5	1.5059	 1.90	easy_par	10	10.609	3 weeks	21	0.00290	y	1	243.27	246.28	225.75	44	241.7656	4.5	easy_par	0.6458	n/a
247.01	4.5	0.9574	-0.99	easy_par	5	 5.000	1 week	7	0.00001	b	0	247.97	251.52	231	45	247.0098	4.5	easy_par	-0.3542	n/a
